,Branco - E,Branco - D,Branco - C,Branco - B,Branco - A,Negro - E,Negro - D,Negro - C,Negro - B,Negro - A
Branco - E,1.30947791,1.084996719,1.001054852,0.8546012025,0.6300797073,1.226366828,1.134622493,1.085326237,1.021308745,0.8670890408
Branco - D,1.084833082,1.099529991,1.022837618,0.8962193804,0.6518739604,1.115583002,1.105266758,1.073857507,1.021204976,0.88053866
Branco - C,1.000901583,1.0228355,1.033421496,1.002372353,0.8742889655,0.9835833412,1.003047849,1.01377449,1.028315464,0.9876707912
Branco - B,0.8544722292,0.8962194098,1.002374441,1.264746821,1.49483272,0.7412391447,0.7847476416,0.8425863023,0.9947182088,1.258987001
Branco - A,0.6299909655,0.6518799049,0.8742988361,1.494846411,3.002005985,0.3951756659,0.4643164544,0.549928669,0.744188193,1.527903356
Negro - E,1.226170664,1.115572623,0.9835763896,0.7412322628,0.3951684815,1.467105962,1.24963292,1.1635289,1.022034145,0.7389834408
Negro - D,1.134459718,1.105274332,1.003056859,0.7847530279,0.464315393,1.249652995,1.217355009,1.144947675,1.01661078,0.7718055689
Negro - C,1.085164081,1.073858331,1.013777406,0.8425868967,0.5499240239,1.16354028,1.144940717,1.125202931,1.038167331,0.8346277695
Negro - B,1.021166084,1.021216183,1.02832887,0.9947290675,0.7441895685,1.022054783,1.016614864,1.038177827,1.107356619,1.009440276
Negro - A,0.8669340548,0.880514009,0.9876453613,1.258951658,1.527846657,0.7389694779,0.7717786429,0.8346037195,1.009400877,1.366680721